a,b,c,d,e,f,g,h,i,j,k
441,220.5,100,y,0,ON,0,OFF,0,signal,1
442,221,100,y,0,ON,0,OFF,0,signal,1
443,221.5,100,y,0,ON,0,OFF,0,signal,1
444,222,100,y,0,ON,0,OFF,0,signal,1
445,222.5,100,y,0,ON,0,OFF,0,signal,1
446,223,100,y,0,ON,0,OFF,0,signal,1
447,223.5,100,y,0,ON,0,OFF,0,signal,1
448,224,100,y,0,ON,0,OFF,0,signal,1
449,224.5,100,y,0,ON,0,OFF,0,signal,1
450,225,100,y,0,ON,0,OFF,0,signal,1
451,225.5,100,y,0,ON,0,OFF,0,signal,1
452,226,100,y,0,ON,0,OFF,0,signal,1
453,226.5,100,y,0,ON,0,OFF,0,signal,1
454,227,100,y,0,ON,0,OFF,0,signal,1
455,227.5,100,y,0,ON,0,OFF,0,signal,1
456,228,100,y,0,ON,0,OFF,0,signal,1
457,228.5,100,y,0,ON,0,OFF,0,signal,1
458,229,100,y,0,ON,0,OFF,0,signal,1
459,229.5,100,y,0,ON,0,OFF,0,signal,1
460,230,100,y,0,ON,0,OFF,0,signal,1
461,230.5,100,y,0,ON,0,OFF,0,signal,1
462,231,100,y,0,ON,0,OFF,0,signal,1
463,231.5,100,y,0,ON,0,OFF,0,signal,1
464,232,100,y,0,ON,0,OFF,0,signal,1
465,232.5,100,y,0,ON,0,OFF,0,signal,1
466,233,100,y,0,ON,0,OFF,0,signal,1
467,233.5,100,y,0,ON,0,OFF,0,signal,1
468,234,100,y,0,ON,0,OFF,0,signal,1
469,234.5,100,y,0,ON,0,OFF,0,signal,1
470,235,100,y,0,ON,0,OFF,0,signal,1
471,235.5,100,y,0,ON,0,OFF,0,signal,1
472,236,100,y,0,ON,0,OFF,0,signal,1
473,236.5,100,y,0,ON,0,OFF,0,signal,1
474,237,100,y,0,ON,0,OFF,0,signal,1
475,237.5,100,y,0,ON,0,OFF,0,signal,1
476,238,100,y,0,ON,0,OFF,0,signal,1
477,238.5,100,y,0,ON,0,OFF,0,signal,1
478,239,100,y,0,ON,0,OFF,0,signal,1
479,239.5,100,y,0,ON,0,OFF,0,signal,1
480,240,100,y,0,ON,0,OFF,0,signal,1
481,240.5,100,y,0,ON,0,OFF,0,signal,1
482,241,100,y,0,ON,0,OFF,0,signal,1
483,241.5,100,y,0,ON,0,OFF,0,signal,1
484,242,100,y,0,ON,0,OFF,0,signal,1
485,242.5,100,y,0,ON,0,OFF,0,signal,1
486,243,100,y,0,ON,0,OFF,0,signal,1
487,243.5,100,y,0,ON,0,OFF,0,signal,1
488,244,100,y,0,ON,0,OFF,0,signal,1
489,244.5,100,y,0,ON,0,OFF,0,signal,1
490,245,100,y,0,ON,0,OFF,0,signal,1
491,245.5,100,y,0,ON,0,OFF,0,signal,1
492,246,100,y,0,ON,0,OFF,0,signal,1
493,246.5,100,y,0,ON,0,OFF,0,signal,1
494,247,100,y,0,ON,0,OFF,0,signal,1
495,247.5,100,y,0,ON,0,OFF,0,signal,1
496,248,100,y,0,ON,0,OFF,0,signal,1
497,248.5,100,y,0,ON,0,OFF,0,signal,1
498,249,100,y,0,ON,0,OFF,0,signal,1
499,249.5,100,y,0,ON,0,OFF,0,signal,1
500,250,100,y,0,ON,0,OFF,0,signal,1
501,250.5,100,y,0,ON,0,OFF,0,signal,1
502,251,100,y,0,ON,0,OFF,0,signal,1
503,251.5,100,y,0,ON,0,OFF,0,signal,1
504,252,100,y,0,ON,0,OFF,0,signal,1
505,252.5,100,y,0,ON,0,OFF,0,signal,1
506,253,100,y,0,ON,0,OFF,0,signal,1
507,253.5,100,y,0,ON,0,OFF,0,signal,1
508,254,100,y,0,ON,0,OFF,0,signal,1
509,254.5,100,y,0,ON,0,OFF,0,signal,1
510,255,100,y,0,ON,0,OFF,0,signal,1
